RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"21:00:00"	"2023-06-23"	"Musselburgh"	"Sir Maxi"	"2.75"	"4.22"	"Handicap"	"4"	"8"	"Garritty, Billy"	"Fahey, R A"	"5"	"23"
"14:50:00"	"2023-06-17"	"Sandown"	"Great State"	"0.80"	"1.8"	"Non-Handicap"	"3"	"7"	"Murphy, Oisin"	"Fahey, R A"	"3"	"30"
"20:50:00"	"2023-06-15"	"Haydock"	"Blue Yonder (FR)"	"2.50"	"4.4"	"Handicap"	"7"	"11"	"Orr, Oisin"	"Fahey, R A"	"3"	"9"
"17:45:00"	"2023-06-07"	"Nottingham"	"The New Marwan"	"2.00"	"3.3"	"Handicap"	"5"	"7"	"Orr, Oisin"	"Fahey, R A"	"6"	"9"
"16:45:00"	"2023-06-02"	"Carlisle"	"La Feile"	"1.00"	"2.25"	"Handicap"	"5"	"8"	"Orr, Oisin"	"Fahey, R A"	"4"	"8"
"15:25:00"	"2023-06-02"	"Carlisle"	"Captain Dandy (IRE)"	"1.50"	"2.69"	"Handicap"	"2"	"9"	"Orr, Oisin"	"Fahey, R A"	"3"	"56"
"14:20:00"	"2023-06-01"	"Ripon"	"Pretty Crystal (IRE)"	"1.63"	"2.74"	"Novices"	"1"	"10"	"Nolan, D"	"Fahey, R A"	"2"	"No Prev"
"15:10:00"	"2023-05-22"	"Carlisle"	"Straits Of Moyle (IRE)"	"2.00"	"3.14"	"Handicap"	"6"	"7"	"Orr, Oisin"	"Fahey, R A"	"4"	"16"
"19:25:00"	"2023-05-19"	"Hamilton"	"Beattie Is Back"	"3.00"	"4.36"	"Handicap"	"5"	"6"	"Garritty, Jack"	"Fahey, R A"	"4"	"22"
"16:45:00"	"2023-05-14"	"Hamilton"	"My Little Queens (IRE)"	"3.00"	"4.25"	"Handicap"	"1"	"14"	"Orr, Oisin"	"Fahey, R A"	"5"	"16"
"15:10:00"	"2023-05-06"	"Thirsk"	"Great State"	"2.00"	"2.94"	"Handicap"	"1"	"10"	"Orr, Oisin"	"Fahey, R A"	"3"	"53"
"17:48:00"	"2023-05-01"	"Beverley"	"Blue Yonder (FR)"	"1.88"	"2.93"	"Handicap"	"1"	"7"	"Orr, Oisin"	"Fahey, R A"	"3"	"22"
"15:28:00"	"2023-05-01"	"Beverley"	"River Usk (IRE)"	"2.25"	"3.52"	"Handicap"	"1"	"9"	"Orr, Oisin"	"Fahey, R A"	"3"	"19"
"18:15:00"	"2023-04-30"	"Musselburgh"	"Maywake"	"2.75"	"4.77"	"Handicap"	"3"	"12"	"Orr, Oisin"	"Fahey, R A"	"5"	"20"
"17:45:00"	"2023-04-30"	"Musselburgh"	"Gincident (IRE)"	"4.00"	"5.94"	"Handicap"	"1"	"9"	"Orr, Oisin"	"Fahey, R A"	"3"	"22"
"16:10:00"	"2023-04-29"	"Ripon"	"Vintage Clarets"	"1.75"	"2.71"	"Handicap"	"4"	"10"	"Orr, Oisin"	"Fahey, R A"	"4"	"21"
"15:48:00"	"2023-04-12"	"Catterick"	"Three Yorkshiremen (IRE)"	"1.20"	"2.32"	"Novices"	"2"	"10"	"Orr, Oisin"	"Fahey, R A"	"3"	"186"
"16:10:00"	"2023-04-08"	"Musselburgh"	"Blue Prince (IRE)"	"1.75"	"3.25"	"Novices"	"5"	"8"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"13:30:00"	"2022-10-08"	"York"	"Three Yorkshiremen (IRE)"	"3.50"	"5.28"	"Handicap Nursery"	"4"	"12"	"Orr, Oisin"	"Fahey, R A"	"2"	"14"
"16:50:00"	"2022-10-03"	"Pontefract"	"Gumdrop"	"3.50"	"5.14"	"Handicap"	"7"	"11"	"Orr, Oisin"	"Fahey, R A"	"4"	"26"
"16:32:00"	"2022-10-01"	"Redcar"	"My Little Queens (IRE)"	"3.00"	"4.5"	"Handicap"	"5"	"11"	"Orr, Oisin"	"Fahey, R A"	"4"	"16"
"14:00:00"	"2022-09-16"	"Ayr"	"Ramazan (IRE)"	"2.25"	"3.23"	"Handicap Nursery"	"2"	"10"	"Orr, Oisin"	"Fahey, R A"	"2"	"30"
"13:35:00"	"2022-09-11"	"Doncaster"	"The Platinum Queen (IRE)"	"1.75"	"2.85"	"Non-Handicap"	"2"	"8"	"Orr, Oisin"	"Fahey, R A"	"2"	"23"
"16:05:00"	"2022-09-04"	"York"	"The Predictor (IRE)"	"2.75"	"3.67"	"Handicap"	"2"	"11"	"Orr, Oisin"	"Fahey, R A"	"3"	"9"
"15:30:00"	"2022-09-04"	"York"	"Dare To Hope (IRE)"	"2.25"	"3.22"	"Handicap Nursery"	"3"	"7"	"Orr, Oisin"	"Fahey, R A"	"2"	"17"
"16:36:00"	"2022-09-03"	"Thirsk"	"No Nay Nicki (IRE)"	"2.50"	"3.65"	"Handicap"	"3"	"9"	"Orr, Oisin"	"Fahey, R A"	"3"	"16"
"13:30:00"	"2022-08-27"	"Beverley"	"Outrun The Storm (IRE)"	"3.00"	"5.31"	"Handicap"	"8"	"10"	"Orr, Oisin"	"Fahey, R A"	"4"	"42"
"16:30:00"	"2022-08-26"	"Thirsk"	"Ravenglass (IRE)"	"1.00"	"2.06"	"Handicap"	"1"	"9"	"Orr, Oisin"	"Fahey, R A"	"3"	"20"
"18:15:00"	"2022-08-09"	"Carlisle"	"Monsieur Kodi (IRE)"	"1.75"	"2.81"	"Handicap"	"1"	"8"	"Orr, Oisin"	"Fahey, R A"	"3"	"22"
"16:35:00"	"2022-08-06"	"Redcar"	"Ravenglass (IRE)"	"1.38"	"2.54"	"Handicap"	"1"	"9"	"Orr, Oisin"	"Fahey, R A"	"3"	"12"
"18:05:00"	"2022-07-30"	"Thirsk"	"Time To Rumble"	"2.00"	"3.17"	"Handicap"	"6"	"8"	"Orr, Oisin"	"Fahey, R A"	"3"	"21"
"19:55:00"	"2022-07-22"	"York"	"Spirit Dancer"	"1.63"	"2.71"	"Handicap"	"1"	"5"	"Orr, Oisin"	"Fahey, R A"	"5"	"13"
"15:00:00"	"2022-07-18"	"Ayr"	"Monsieur Kodi (IRE)"	"2.75"	"4.07"	"Handicap"	"1"	"12"	"Orr, Oisin"	"Fahey, R A"	"3"	"7"
"15:15:00"	"2022-07-17"	"Redcar"	"La Feile"	"3.00"	"4.09"	"Handicap"	"1"	"12"	"Orr, Oisin"	"Fahey, R A"	"3"	"32"
"17:30:00"	"2022-07-16"	"Chester"	"The New Marwan"	"2.25"	"3.43"	"Handicap"	"5"	"8"	"McHugh, B"	"Fahey, R A"	"5"	"7"
"16:01:00"	"2022-07-16"	"Ripon"	"Grifter"	"3.50"	"4.86"	"Handicap"	"5"	"9"	"McSweeney, O"	"Fahey, R A"	"3"	"19"
"14:50:00"	"2022-07-14"	"Hamilton"	"Solar Joe"	"2.25"	"3.26"	"Handicap"	"2"	"7"	"Orr, Oisin"	"Fahey, R A"	"4"	"9"
"16:25:00"	"2022-07-09"	"Newmarket (July)"	"Perfect Power (IRE)"	"2.25"	"3.59"	"Non-Handicap"	"7"	"13"	"Soumillon, C"	"Fahey, R A"	"3"	"22"
"18:00:00"	"2022-07-08"	"Chester"	"Gabrial The Wire"	"2.50"	"4.21"	"Handicap"	"6"	"8"	"Obrien, Miss Fern"	"Fahey, R A"	"6"	"14"
"17:00:00"	"2022-07-01"	"Doncaster"	"Absolute Dream (IRE)"	"2.75"	"3.89"	"Handicap"	"3"	"8"	"Nolan, D"	"Fahey, R A"	"6"	"15"
"15:45:00"	"2022-06-27"	"Pontefract"	"Grifter"	"2.75"	"3.82"	"Handicap"	"5"	"6"	"Garritty, Jack"	"Fahey, R A"	"3"	"13"
"20:20:00"	"2022-06-08"	"Hamilton"	"Internationaldream (IRE)"	"3.33"	"4.55"	"Handicap"	"4"	"8"	"Orr, Oisin"	"Fahey, R A"	"4"	"17"
"16:50:00"	"2022-05-30"	"Ayr"	"Clearpoint"	"1.00"	"2.16"	"Novices"	"1"	"5"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
