RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"14:00:00"	"2025-03-13"	"Cheltenham"	"Whats Up Darling (IRE)"	"22.00"	"28.34"	"Handicap Novices Chase"	"BD"	"19"	"Roche, T P"	"Elliott, Gordon"	"2m5f "	"1"	"26"	"5"	"11"
"16:40:00"	"2025-03-12"	"Cheltenham"	"Jasko Des Dames (FR)"	"22.00"	"31.29"	"Handicap Chase"	"5"	"20"	"OKeeffe, Darragh"	"Bromhead, Henry De"	"2m "	"1"	"20"	"5"	"6"
"16:40:00"	"2025-03-12"	"Cheltenham"	"Primoz (IRE)"	"6.00"	"7.97"	"Handicap Chase"	"14"	"20"	"Fox, Derek R"	"Russell, Miss Lucinda V"	"2m "	"1"	"26"	"1"	"2"
"15:20:00"	"2025-03-12"	"Cheltenham"	"Roi Mage (FR)"	"40.00"	"77.32"	"Handicap Chase"	"7"	"16"	"Reveley, James"	"Griffin, Patrick"	"3m5.5f "	"2"	"333"	"9"	"32"
"15:20:00"	"2025-03-12"	"Cheltenham"	"French Dynamite (FR)"	"50.00"	"92.87"	"Handicap Chase"	"10"	"16"	"Brouder, Gavin"	"Morris, M F"	"3m5.5f "	"2"	"18"	"5"	"6"
"15:20:00"	"2025-03-12"	"Cheltenham"	"Chambard (FR)"	"80.00"	"180"	"Handicap Chase"	"PU"	"16"	"Turner, Miss L M"	"Williams, Miss Venetia"	"3m5.5f "	"2"	"30"	"7"	"11"
"14:40:00"	"2025-03-12"	"Cheltenham"	"Jimmy Du Seuil (FR)"	"16.00"	"21.68"	"Handicap Hurdle"	"1"	"26"	"Mullins, D E"	"Mullins, W P"	"2m5f "	"1"	"313"	"5"	"6"
"14:40:00"	"2025-03-12"	"Cheltenham"	"Beckett Rock (IRE)"	"28.00"	"44.53"	"Handicap Hurdle"	"6"	"26"	"OKeeffe, Darragh"	"Bromhead, Henry De"	"2m5f "	"1"	"18"	"2"	"16"
"14:40:00"	"2025-03-12"	"Cheltenham"	"Beacon Edge (IRE)"	"80.00"	"216.58"	"Handicap Hurdle"	"7"	"26"	"Gilligan, D J"	"Elliott, Gordon"	"2m5f "	"1"	"25"	"4"	"6"
"14:40:00"	"2025-03-12"	"Cheltenham"	"Minella Missile (IRE)"	"40.00"	"76.75"	"Handicap Hurdle"	"16"	"26"	"Wedge, Adam"	"Williams, Evan"	"2m5f "	"1"	"18"	"PU"	"13"
"14:40:00"	"2025-03-12"	"Cheltenham"	"Jipcot (FR)"	"14.00"	"24.78"	"Handicap Hurdle"	"19"	"26"	"Woods, K K"	"ONeill, Jonjo and AJ"	"2m5f "	"1"	"25"	"4"	"13"
"14:40:00"	"2025-03-12"	"Cheltenham"	"Lossiemouth"	"66.00"	"117.01"	"Handicap Hurdle"	"20"	"26"	"Sheppard, Stan"	"Gundry, Miss Polly"	"2m5f "	"1"	"18"	"6"	"13"
"14:40:00"	"2025-03-12"	"Cheltenham"	"Vischio (IRE)"	"33.00"	"61.31"	"Handicap Hurdle"	"22"	"26"	"Meyler, D"	"Mullins, Emmet"	"2m5f "	"1"	"11"	"7"	"18"
"17:20:00"	"2025-03-11"	"Cheltenham"	"Klarc Kent (FR)"	"66.00"	"132.37"	"Handicap Novices Chase"	"8"	"18"	"OKeeffe, Sean F"	"Mullins, W P"	"3m6f "	"2"	"19"	"10"	"17"
"17:20:00"	"2025-03-11"	"Cheltenham"	"Hasthing (FR)"	"16.00"	"24.66"	"Handicap Novices Chase"	"F"	"18"	"ONeill, Jonjo (Jr)"	"ONeill, Jonjo and AJ"	"3m6f "	"2"	"24"	"4"	"11"
"16:40:00"	"2025-03-11"	"Cheltenham"	"Kool One (SPA)"	"33.00"	"48.4"	"Handicap Hurdle"	"UR"	"22"	"Ryan, Mr I"	"Maxwell, Conor"	"2m.5f "	"1"	"16"	"2"	"5"
"14:40:00"	"2025-03-11"	"Cheltenham"	"The Changing Man (IRE)"	"7.00"	"10.09"	"Handicap Chase"	"2"	"24"	"Powell, Brendan"	"Tizzard, Joe"	"3m1f "	"1"	"24"	"1"	"4"
"14:40:00"	"2025-03-11"	"Cheltenham"	"Malina Girl (IRE)"	"14.00"	"20.08"	"Handicap Chase"	"3"	"24"	"Donoghue, K M"	"Cromwell, Gavin Patrick"	"3m1f "	"1"	"18"	"2"	"5"
"14:40:00"	"2025-03-11"	"Cheltenham"	"Famous Bridge (IRE)"	"18.00"	"21.88"	"Handicap Chase"	"6"	"24"	"Quinlan, Sean"	"Richards, N G"	"3m1f "	"1"	"24"	"1"	"9"
"14:40:00"	"2025-03-11"	"Cheltenham"	"Farouk Dalene (FR)"	"125.00"	"375.41"	"Handicap Chase"	"PU"	"24"	"McLernon, R P"	"Brown, G"	"3m1f "	"1"	"332"	"PU"	"32"
"14:40:00"	"2025-03-11"	"Cheltenham"	"Victtorino (FR)"	"22.00"	"33.83"	"Handicap Chase"	"PU"	"24"	"Deutsch, Charlie"	"Williams, Miss Venetia"	"3m1f "	"1"	"24"	"1"	"11"
"14:40:00"	"2025-03-11"	"Cheltenham"	"Katate Dori (FR)"	"7.00"	"10"	"Handicap Chase"	"PU"	"24"	"Johnston, Dylan"	"Thomas, Sam"	"3m1f "	"1"	"17"	"1"	"13"
"17:30:00"	"2024-03-15"	"Cheltenham"	"Whats Up Darling (IRE)"	"10.00"	"13.39"	"Handicap Hurdle"	"6"	"21"	"Stone-Walsh, C"	"Elliott, Gordon"	"2m4.5f "	"2"	"27"	"2"	"5"
"17:30:00"	"2024-03-15"	"Cheltenham"	"No Ordinary Joe (IRE)"	"16.00"	"21.74"	"Handicap Hurdle"	"7"	"21"	"Kelly, Aidan"	"Henderson, N J"	"2m4.5f "	"2"	"20"	"3"	"7"
"17:30:00"	"2024-03-15"	"Cheltenham"	"Jason The Militant (IRE)"	"66.00"	"130.5"	"Handicap Hurdle"	"PU"	"21"	"Williamson, Joseph"	"Kirby, P A"	"2m4.5f "	"2"	"20"	"5"	"7"
"17:30:00"	"2024-03-15"	"Cheltenham"	"Bingoo"	"50.00"	"75"	"Handicap Hurdle"	"PU"	"21"	"Wadge, P"	"Moffatt, James"	"2m4.5f "	"2"	"13"	"11"	"17"
